Date,Composants de coûts,Devise,Type de données,Source de données,Commerce extérieur,Indicateur,Marché,Produit,Groupe de produits,Système de production,Provenance du produit,Propriétés du produit,Sous-groupe de produits,Région de vente,Unité,Mode d’utilisation,Echelon de création de valeur_Détail,Echelon de création de valeur ,Prix
02-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
02-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.523053
01-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
01-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.434091
01-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
01-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.599724
01-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
01-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.679646
01-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.679543
01-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.370345
01-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
